Name,ShortName,Gender,Locale,SampleRateHertz,VoiceType
"Microsoft Server Speech Text to Speech Voice (pt-BR, HeloisaRUS)",pt-BR-HeloisaRUS,Female,pt-BR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (pt-BR, Daniel, Apollo)",pt-BR-Daniel-Apollo,Male,pt-BR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (pt-PT, HeliaRUS)",pt-PT-HeliaRUS,Female,pt-PT,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ro-RO, Andrei)",ro-RO-Andrei,Male,ro-RO,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ru-RU, EkaterinaRUS)",ru-RU-EkaterinaRUS,Female,ru-RU,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ru-RU, Irina, Apollo)",ru-RU-Irina-Apollo,Female,ru-RU,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ru-RU, Pavel, Apollo)",ru-RU-Pavel-Apollo,Male,ru-RU,16000,Standard
"Microsoft Server Speech Text to Speech Voice (sk-SK, Filip)",sk-SK-Filip,Male,sk-SK,16000,Standard
"Microsoft Server Speech Text to Speech Voice (sl-SI, Lado)",sl-SI-Lado,Male,sl-SI,16000,Standard
"Microsoft Server Speech Text to Speech Voice (sv-SE, HedvigRUS)",sv-SE-HedvigRUS,Female,sv-SE,16000,Standard
"Microsoft Server Speech Text to Speech Voice (ta-IN, Valluvar)",ta-IN-Valluvar,Male,ta-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (te-IN, Chitra)",te-IN-Chitra,Female,te-IN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (th-TH, Pattara)",th-TH-Pattara,Male,th-TH,16000,Standard
"Microsoft Server Speech Text to Speech Voice (tr-TR, SedaRUS)",tr-TR-SedaRUS,Female,tr-TR,16000,Standard
"Microsoft Server Speech Text to Speech Voice (vi-VN, An)",vi-VN-An,Male,vi-VN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-CN, HuihuiRUS)",zh-CN-HuihuiRUS,Female,zh-CN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-CN, Kangkang, Apollo)",zh-CN-Kangkang-Apollo,Male,zh-CN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-CN, Yaoyao, Apollo)",zh-CN-Yaoyao-Apollo,Female,zh-CN,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-HK, Tracy, Apollo)",zh-HK-Tracy-Apollo,Female,zh-HK,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-HK, TracyRUS)",zh-HK-TracyRUS,Female,zh-HK,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-HK, Danny, Apollo)",zh-HK-Danny-Apollo,Male,zh-HK,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-TW, HanHanRUS)",zh-TW-HanHanRUS,Female,zh-TW,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-TW, Yating, Apollo)",zh-TW-Yating-Apollo,Female,zh-TW,16000,Standard
"Microsoft Server Speech Text to Speech Voice (zh-TW, Zhiwei, Apollo)",zh-TW-Zhiwei-Apollo,Male,zh-TW,16000,Standard
