voice,language,language_code,gender,service
en-US-Standard-H,English (US),en-US,FEMALE,google
en-US-Neural2-E,English (US),en-US,FEMALE,google
es-ES-Wavenet-D,Spanish (Spain),es-ES,FEMALE,google
es-ES-Wavenet-B,Spanish (Spain),es-ES,MALE,google
es-ES-Neural2-C,Spanish (Spain),es-ES,FEMALE,google
es-ES-Standard-D,Spanish (Spain),es-ES,FEMALE,google
es-ES-Standard-C,Spanish (Spain),es-ES,FEMALE,google
es-ES-Neural2-A,Spanish (Spain),es-ES,FEMALE,google
es-ES-Standard-B,Spanish (Spain),es-ES,MALE,google
es-ES-Neural2-B,Spanish (Spain),es-ES,MALE,google
es-ES-Wavenet-C,Spanish (Spain),es-ES,FEMALE,google
es-ES-Neural2-E,Spanish (Spain),es-ES,FEMALE,google
es-ES-Neural2-F,Spanish (Spain),es-ES,MALE,google
es-ES-Neural2-D,Spanish (Spain),es-ES,FEMALE,google
es-ES-Standard-A,Spanish (Spain),es-ES,FEMALE,google
es-ES-Polyglot-1,Spanish (Spain),es-ES,MALE,google
es-US-Standard-A,NA,es-US,FEMALE,google
es-US-Standard-B,NA,es-US,MALE,google
es-US-Standard-C,NA,es-US,MALE,google
es-US-Polyglot-1,NA,es-US,MALE,google
es-US-Studio-B,NA,es-US,MALE,google
es-US-News-D,NA,es-US,MALE,google
es-US-Neural2-A,NA,es-US,FEMALE,google
es-US-Neural2-C,NA,es-US,MALE,google
es-US-Wavenet-C,NA,es-US,MALE,google
es-US-News-G,NA,es-US,FEMALE,google
es-US-Wavenet-A,NA,es-US,FEMALE,google
es-US-Neural2-B,NA,es-US,MALE,google
es-US-News-F,NA,es-US,FEMALE,google
es-US-Wavenet-B,NA,es-US,MALE,google
es-US-News-E,NA,es-US,MALE,google
eu-ES-Standard-A,NA,eu-ES,FEMALE,google
fi-FI-Standard-A,Finnish,fi-FI,FEMALE,google
fi-FI-Wavenet-A,Finnish,fi-FI,FEMALE,google
fil-PH-Wavenet-D,Filipino (Philippines),fil-PH,MALE,google
fil-PH-Wavenet-B,Filipino (Philippines),fil-PH,FEMALE,google
fil-ph-Neural2-A,Filipino (Philippines),fil-PH,FEMALE,google
fil-PH-Wavenet-C,Filipino (Philippines),fil-PH,MALE,google
fil-PH-Standard-C,Filipino (Philippines),fil-PH,MALE,google
fil-PH-Standard-D,Filipino (Philippines),fil-PH,MALE,google
fil-ph-Neural2-D,Filipino (Philippines),fil-PH,MALE,google
fil-PH-Standard-B,Filipino (Philippines),fil-PH,FEMALE,google
fil-PH-Wavenet-A,Filipino (Philippines),fil-PH,FEMALE,google
fil-PH-Standard-A,Filipino (Philippines),fil-PH,FEMALE,google
fr-CA-Neural2-C,French (Canada),fr-CA,FEMALE,google
fr-CA-Standard-C,French (Canada),fr-CA,FEMALE,google
fr-CA-Neural2-A,French (Canada),fr-CA,FEMALE,google
fr-CA-Wavenet-C,French (Canada),fr-CA,FEMALE,google
fr-CA-Standard-B,French (Canada),fr-CA,MALE,google
